epoch,loss,mse_u,mse_s,penalty
0,0.08150406181812286,0.03367144241929054,0.04783262312412262,0.0
1,0.07169103622436523,0.02919350005686283,0.0424974150955677,1.1999983939858794e-07
2,0.06283081322908401,0.025274088606238365,0.037556249648332596,4.774203716806369e-07
3,0.05488424748182297,0.02187378704547882,0.03300939500331879,1.0652423725332483e-06
4,0.04780786484479904,0.018949352204799652,0.028856642544269562,1.8716457361733774e-06
5,0.04155481979250908,0.01645476371049881,0.02509717456996441,2.879266503441613e-06
6,0.03607405349612236,0.014341919682919979,0.021728068590164185,4.064571839990094e-06
7,0.03130968287587166,0.012561187148094177,0.01874309591948986,5.397551376518095e-06
8,0.027200713753700256,0.011062338948249817,0.016131533309817314,6.842010407126509e-06
9,0.02368149906396866,0.009796117432415485,0.013877026736736298,8.356741091120057e-06
10,0.02068305015563965,0.008716430515050888,0.011956722475588322,9.897750715026632e-06
11,0.018135646358132362,0.007782889064401388,0.010341335088014603,1.142139717558166e-05
12,0.015972254797816277,0.0069630760699510574,0.008996290154755116,1.2887927368865348e-05
13,0.014132113195955753,0.0062338728457689285,0.00788397528231144,1.4264611309044994e-05
14,0.012563311494886875,0.005581233650445938,0.006966549437493086,1.552778485347517e-05
15,0.011223815381526947,0.004998613148927689,0.006208539474755526,1.6663465430610813e-05
16,0.010080836713314056,0.004484482109546661,0.005578686948865652,1.7666727217147127e-05
17,0.009109064936637878,0.004039724823087454,0.005050800275057554,1.8540205928729847e-05
18,0.00828850269317627,0.0036654111463576555,0.004603799432516098,1.9292272554594092e-05
19,0.007602366153150797,0.003361256094649434,0.0042211744002997875,1.993520163523499e-05
20,0.007035422138869762,0.0031247464939951897,0.0038901923689991236,2.0483541447902098e-05
21,0.006572874262928963,0.0029508890584111214,0.003601032542064786,2.095275885949377e-05
22,0.0061997962184250355,0.002832402242347598,0.0033460359554737806,2.135819522663951e-05
23,0.0059010121040046215,0.0027602193877100945,0.0031190786976367235,2.171424603147898e-05
24,0.005661382339894772,0.002724176039919257,0.002915172604843974,2.2033807908883318e-05
25,0.005466304253786802,0.0027137622237205505,0.002730214037001133,2.232791121059563e-05
26,0.005302336532622576,0.0027188544627279043,0.0025608763098716736,2.2605509002460167e-05
27,0.005157770123332739,0.002730334410443902,0.0024045624304562807,2.287339884787798e-05
28,0.005023089703172445,0.0027405594009906054,0.002259393921121955,2.3136257368605584e-05
29,0.004891207441687584,0.0027436446398496628,0.002124166116118431,2.3396703909384087e-05
30,0.004757435992360115,0.002735546790063381,0.001998233376070857,2.3655429686186835e-05
31,0.004619264975190163,0.002713998081162572,0.0018813555361703038,2.391135240031872e-05
32,0.004475955851376057,0.0026783000212162733,0.0017734939465299249,2.4161781766451895e-05
33,0.004328032955527306,0.0026290379464626312,0.0016745926113799214,2.4402619601460174e-05
34,0.00417677266523242,0.0025677429512143135,0.001584401004947722,2.4628609025967307e-05
35,0.004023746121674776,0.002496565692126751,0.0015023465966805816,2.483363641658798e-05
36,0.003870466724038124,0.002417957643046975,0.0014274980640038848,2.5011087927850895e-05
37,0.0037182020023465157,0.002334423130378127,0.0013586245477199554,2.5154280592687428e-05
38,0.0035679135471582413,0.0022483179345726967,0.0012943386100232601,2.5256904336856678e-05
39,0.0034203152172267437,0.002161721931770444,0.0012332797050476074,2.531350401113741e-05
40,0.0032760249450802803,0.002076380420476198,0.0011743245413526893,2.5319899577880278e-05
41,0.0031357037369161844,0.0019936845637857914,0.001116745756007731,2.52735371759627e-05
42,0.0030001832637935877,0.0019147004932165146,0.0010603091213852167,2.517369284760207e-05
43,0.002870506839826703,0.001840210985392332,0.0010052743600681424,2.502157622075174e-05
44,0.0027478886768221855,0.0017707603983581066,0.0009523080661892891,2.482021773175802e-05
45,0.0026335937436670065,0.0017066975124180317,0.0009023218881338835,2.4574255803599954e-05
46,0.0025287866592407227,0.0016482090577483177,0.0008562879520468414,2.4289589418913238e-05
47,0.002434368012472987,0.0015953482361510396,0.0008150467765517533,2.3972965209395625e-05
48,0.002350845141336322,0.0015480496222153306,0.0007791637908667326,2.3631504518561997e-05
49,0.0022782674059271812,0.0015061531448736787,0.0007488420233130455,2.3272270482266322e-05
50,0.0022162243258208036,0.001469415263272822,0.0007239072001539171,2.290184966113884e-05
51,0.002163919387385249,0.0014375364407896996,0.0007038568146526814,2.252602280350402e-05
52,0.002120274119079113,0.0014101701090112329,0.0006879546563141048,2.214949745393824e-05
53,0.002084063133224845,0.0013869433896616101,0.0006753440829925239,2.1775755158159882e-05
54,0.0020540303084999323,0.0013674594229087234,0.0006651640287600458,2.140698597941082e-05
55,0.0020289896056056023,0.0013513037702068686,0.0006566415540874004,2.104412305925507e-05
56,0.002007870003581047,0.001338034518994391,0.0006491485401056707,2.0686933567048982e-05
57,0.0019897413440048695,0.001327182981185615,0.0006422240403480828,2.0334224245743826e-05
58,0.001973795937374234,0.0013182462425902486,0.0006355656660161912,1.998405423364602e-05
59,0.001959320157766342,0.0013106913538649678,0.0006289949524216354,1.9634007912827656e-05
60,0.001945676514878869,0.0013039723271504045,0.0006224226672202349,1.9281482309452258e-05
61,0.0019322787411510944,0.001297547365538776,0.0006158074247650802,1.892396539915353e-05
62,0.001918603084050119,0.001290912856347859,0.0006091310060583055,1.8559292584541254e-05
63,0.0019042011117562652,0.0012836334062740207,0.000602381827775389,1.8185846784035675e-05
64,0.0018887274200096726,0.001275372807867825,0.0005955519154667854,1.7802714864956215e-05
65,0.0018719664076343179,0.0012659147614613175,0.0005886417930014431,1.7409749489161186e-05
66,0.0018538380973041058,0.001255167298950255,0.0005816631601192057,1.700757820799481e-05
67,0.001834397786296904,0.0012431585928425193,0.000574641628190875,1.6597530702711083e-05
68,0.0018138152081519365,0.0012300164671614766,0.0005676172440871596,1.6181505998247303e-05
69,0.0017923366976901889,0.0012159404577687383,0.0005606344784609973,1.5761808754177764e-05
70,0.0017702453769743443,0.001201168168336153,0.0005537362303584814,1.5340952813858166e-05
71,0.0017478249501436949,0.0011859465157613158,0.0005469570169225335,1.4921464753570035e-05
72,0.0017253293190151453,0.0011705062352120876,0.0005403173854574561,1.4505716535495594e-05
73,0.0017029691953212023,0.0011550470953807235,0.0005338263581506908,1.409576361766085e-05
74,0.0016809036023914814,0.0011397275375202298,0.0005274828872643411,1.3693253094970714e-05
75,0.0016592490719631314,0.0011246675858274102,0.0005212820251472294,1.3299348211148754e-05
76,0.0016380887245759368,0.0011099515249952674,0.0005152223748154938,1.2914722901768982e-05
77,0.0016174803022295237,0.0010956363985314965,0.0005093042855150998,1.2539570889202878e-05
78,0.0015974618727341294,0.0010817579459398985,0.0005035302019678056,1.2173670256743208e-05
79,0.0015780585817992687,0.0010683395667001605,0.0004979025106877089,1.1816461665148381e-05
80,0.0015592752024531364,0.0010553925530984998,0.0004924155073240399,1.1467148397059646e-05
81,0.0015410984633490443,0.001042921096086502,0.00048705260269343853,1.1124799129902385e-05
82,0.0015234925085678697,0.0010309215867891908,0.00048178245197050273,1.0788453437271528e-05
83,0.0015064030885696411,0.0010193834314122796,0.00047656241804361343,1.045721637638053e-05
84,0.0014897576766088605,0.0010082885855808854,0.0004713387752417475,1.013032942864811e-05
85,0.0014734772266820073,0.0009976119035854936,0.0004660580598283559,9.807236892811488e-06
86,0.001457482110708952,0.00098732381593436,0.00046067064977250993,9.487610441283323e-06
87,0.0014417001511901617,0.000977388583123684,0.00045514022349379957,9.171361853077542e-06
88,0.0014260734897106886,0.0009677683119662106,0.0004494465247262269,8.858633009367622e-06
89,0.001410560216754675,0.0009584237704984844,0.00044358670129440725,8.549751328246202e-06
90,0.0013951337896287441,0.0009493150864727795,0.00043757344246841967,8.245194294431712e-06
91,0.0013797791907563806,0.0009404034353792667,0.00043143017683178186,7.945532161102165e-06
92,0.001364491181448102,0.0009316522628068924,0.0004251875216141343,7.65136610425543e-06
93,0.0013492696452885866,0.000923029612749815,0.00041887679253704846,7.363277291005943e-06
94,0.0013341170269995928,0.0009145073709078133,0.00041252790833823383,7.081784133333713e-06
95,0.00131903903093189,0.0009060640004463494,0.0004061677900608629,6.807298177591292e-06
96,0.0013040406629443169,0.000897682795766741,0.0003998177999164909,6.540113645314705e-06
97,0.0012891327496618032,0.0008893550839275122,0.0003934972919523716,6.280390607571462e-06
98,0.0012743264669552445,0.0008810763247311115,0.00038722195313312113,6.028163170412881e-06
99,0.0012596376473084092,0.000872847915161401,0.00038100630627013743,5.7833535720419604e-06
100,0.0012450801441445947,0.0008646710775792599,0.0003748632443603128,5.545794920180924e-06
101,0.0012306701391935349,0.0008565504685975611,0.00036880440893583,5.315257112670224e-06
102,0.0012164205545559525,0.0008484890568070114,0.00036284004454500973,5.091480943519855e-06
103,0.0012023417511954904,0.0008404881809838116,0.00035697934799827635,4.8742022045189515e-06
104,0.0011884378036484122,0.000832545745652169,0.000351228954968974,4.663177151087439e-06
105,0.0011747117387130857,0.0008246595971286297,0.00034559390041977167,4.458203420654172e-06
106,0.0011611608788371086,0.0008168232161551714,0.000340078491717577,4.259132310835412e-06
107,0.0011477821972221136,0.0008090311312116683,0.0003346850862726569,4.065870598424226e-06
108,0.0011345719685778022,0.0008012771140784025,0.0003294165071565658,3.878383267874597e-06
109,0.0011215258855372667,0.0007935553439892828,0.00032427386031486094,3.6966810057492694e-06
110,0.001108639407902956,0.0007858608732931316,0.0003192576696164906,3.520811333146412e-06
111,0.0010959100909531116,0.0007781912572681904,0.0003143680514767766,3.35083882418985e-06
112,0.0010833333944901824,0.0007705436437390745,0.0003096028231084347,3.186834192092647e-06
113,0.0010709073394536972,0.0007629184983670712,0.0003049600054509938,3.0288547350210138e-06
114,0.0010586273856461048,0.0007553158211521804,0.0003004345635417849,2.876933876905241e-06
115,0.0010464910883456469,0.0007477376493625343,0.0002960223937407136,2.7310729819873814e-06
116,0.0010344957699999213,0.0007401869515888393,0.00029171755886636674,2.591235897853039e-06
117,0.0010226392187178135,0.0007326671038754284,0.0002875147620216012,2.4573482733103447e-06
118,0.0010109205031767488,0.0007251822971738875,0.00028340882272459567,2.329300968995085e-06
119,0.0009993389248847961,0.0007177373045124114,0.0002793945895973593,2.206958015449345e-06
120,0.0009878957644104958,0.0007103377138264477,0.0002754679589997977,2.0901636617054464e-06
121,0.0009765923023223877,0.0007029894622974098,0.00027162415790371597,1.9787535165960435e-06
122,0.0009654287714511156,0.0006956970319151878,0.00026785916998051107,1.8725623931459268e-06
123,0.0009544065687805414,0.0006884666508994997,0.0002641684841364622,1.7714341993269045e-06
124,0.0009435268002562225,0.0006813036743551493,0.0002605479094199836,1.6752276223996887e-06
125,0.0009327894658781588,0.0006742127588950098,0.0002569928765296936,1.5838212448215927e-06
126,0.0009221949148923159,0.0006671983865089715,0.0002534993982408196,1.4971151358622592e-06
127,0.0009117415174841881,0.000660263525787741,0.00025006296345964074,1.415030965290498e-06
128,0.0009014308452606201,0.0006534124258905649,0.000246680952841416,1.337508365395479e-06
129,0.0008912616758607328,0.0006466470076702535,0.0002433501649647951,1.2645026572499773e-06
130,0.0008812336600385606,0.0006399691919796169,0.0002400684606982395,1.1959789389948128e-06
131,0.0008713458082638681,0.0006333795026876032,0.00023683438485022634,1.1319071973048267e-06
132,0.0008615973056294024,0.0006268786382861435,0.0002336464385734871,1.0722573051680229e-06
133,0.0008519868715666234,0.0006204664241522551,0.00023050345771480352,1.0169956112804357e-06
134,0.0008425137493759394,0.0006141421035863459,0.00022740557324141264,9.660813020673231e-07
135,0.0008331764256581664,0.0006079049780964851,0.00022435199934989214,9.194657195621403e-07
136,0.000823972572106868,0.0006017528939992189,0.00022134259052108973,8.770910540079058e-07
137,0.0008149014902301133,0.00059568538563326,0.0002183772303396836,8.388921628466051e-07
138,0.0008059620158746839,0.0005897007649764419,0.0002154564717784524,8.047969117797038e-07
139,0.000797152635641396,0.0005837976350449026,0.00021258025662973523,7.747286758785776e-07
140,0.0007884717197157443,0.0005779742496088147,0.00020974887593183666,7.48608840694942e-07
141,0.0007799187442287803,0.000572229502722621,0.00020696288265753537,7.263582233463239e-07
142,0.0007714924868196249,0.0005665618809871376,0.00020422266970854253,7.078987209752086e-07
143,0.0007631910848431289,0.0005609692889265716,0.00020152865909039974,6.931551297384431e-07
144,0.0007550139562226832,0.0005554509116336703,0.00019888096721842885,6.820547469033045e-07
145,0.0007469594711437821,0.0005500045954249799,0.00019628035079222172,6.745277687514317e-07
146,0.0007390264072455466,0.0005446288269013166,0.00019372710085008293,6.705069495183125e-07
147,0.0007312135421670973,0.0005393218016251922,0.00019122182857245207,6.699262939946493e-07
148,0.0007235199445858598,0.00053408247185871,0.00018876475223805755,6.727205459355901e-07
149,0.0007159441593103111,0.0005289089749567211,0.00018635638116393238,6.788239375055127e-07
150,0.0007084843819029629,0.0005237997975200415,0.0001839963806560263,6.881692797833239e-07
151,0.0007011399720795453,0.0005187540664337575,0.0001816852018237114,7.006879059190396e-07
152,0.0006939093000255525,0.0005137704429216683,0.00017942253907676786,7.16308761639084e-07
153,0.0006867909105494618,0.0005088479374535382,0.00017720799951348454,7.349591442107339e-07
154,0.0006797832902520895,0.0005039857351221144,0.0001750409574015066,7.56564929815795e-07
155,0.000672884751111269,0.0004991828463971615,0.00017292085976805538,7.810504030203447e-07
156,0.000666094827465713,0.0004944392712786794,0.00017084724095184356,8.083401326075546e-07
157,0.0006594110163860023,0.0004897537874057889,0.00016881886404007673,8.383587442040152e-07
158,0.0006528322119265795,0.0004851260455325246,0.00016683514695614576,8.710320571481134e-07
159,0.0006463566678576171,0.00048055543447844684,0.00016489492554683238,9.062870844900317e-07
160,0.0006399832782335579,0.0004760418087244034,0.00016299739945679903,9.440526014259376e-07
161,0.0006337103550322354,0.00047158493543975055,0.00016114120080601424,9.84259258984821e-07
162,0.0006275366176851094,0.0004671838541980833,0.0001593259075889364,1.0268391861245618e-06
163,0.0006214605527929962,0.00046283891424536705,0.00015754993364680558,1.0717262739490252e-06
164,0.0006154809379950166,0.0004585495626088232,0.00015581250772811472,1.1188557209607097e-06
165,0.0006095952703617513,0.0004543148388620466,0.0001541122474009171,1.1681632940963027e-06
166,0.0006038033170625567,0.00045013506314717233,0.00015244867245201021,1.219585783474031e-06
167,0.0005981030990369618,0.0004460096824914217,0.0001508203276898712,1.2730607750199852e-06
168,0.0005924931028857827,0.0004419382894411683,0.0001492262672400102,1.328526423094445e-06
169,0.0005869718152098358,0.00043792021460831165,0.00014766569074708968,1.3859209957445273e-06
170,0.0005815386539325118,0.00043395537068136036,0.00014613807434216142,1.4451844663199154e-06
171,0.0005761915817856789,0.0004300435248296708,0.00014464180276263505,1.5062571492308052e-06
172,0.0005709289107471704,0.00042618336738087237,0.00014317645400296897,1.5690808368162834e-06
173,0.0005657501751556993,0.0004223753057885915,0.00014174127136357129,1.63359914040484e-06
174,0.0005606532795354724,0.00041861835052259266,0.0001403351197950542,1.69975692188018e-06
175,0.0005556372925639153,0.00041491235606372356,0.00013895747542846948,1.7675009758022497e-06
176,0.0005506999441422522,0.00041125586722046137,0.00013760727597400546,1.8367798020335613e-06
177,0.0005458412342704833,0.00040764923323877156,0.00013628446322400123,1.9075432646786794e-06
178,0.0005410588928498328,0.00040409143548458815,0.000134987712954171,1.979742819457897e-06
179,0.0005363523960113525,0.00040058212471194565,0.0001337169378530234,2.05333026315202e-06
180,0.0005317194736562669,0.000397120340494439,0.00013247091555967927,2.1282598936522845e-06
181,0.0005271594855003059,0.0003937055298592895,0.00013124948600307107,2.204484417234198e-06
182,0.0005226709763519466,0.0003903369652107358,0.00013005205255467445,2.281959268657374e-06
183,0.0005182528984732926,0.00038701435551047325,0.00012887791672255844,2.3606387458130484e-06
184,0.000513903854880482,0.00038373659481294453,0.00012772678746841848,2.4404780560871586e-06
185,0.0005096224485896528,0.00038050321745686233,0.0001265978062292561,2.5214324068656424e-06
186,0.0005054079811088741,0.00037731367046944797,0.00012549087114166468,2.603457687655464e-06
187,0.0005012587644159794,0.0003741671098396182,0.00012440516729839146,2.686509787963587e-06
188,0.0004971737507730722,0.0003710626915562898,0.00012334049097262323,2.7705466436600545e-06
189,0.0004931517178192735,0.00036800024099648,0.00012229591084178537,2.8555271001096116e-06
190,0.0004891918506473303,0.00036497871042229235,0.00012127173249609768,2.941409547929652e-06
191,0.0004852927231695503,0.00036199772148393095,0.00012026682816212997,3.028154651474324e-06
192,0.00048145331675186753,0.0003590564301703125,0.000119281183287967,3.1157248940871796e-06
193,0.00047767278738319874,0.0003561546327546239,0.00011831408482976258,3.2040834412327968e-06
194,0.00047395017463713884,0.0003532915434334427,0.00011736544547602534,3.29319414049678e-06
195,0.00047028358676470816,0.0003504662017803639,0.00011643435573205352,3.3830219763331115e-06
196,0.0004666729364544153,0.00034767822944559157,0.0001155211721197702,3.4735332974378252e-06
197,0.00046311665209941566,0.00034492730628699064,0.00011462464317446575,3.564695134627982e-06
198,0.0004596139187924564,0.00034221261739730835,0.00011374480527592823,3.656475200841669e-06
199,0.00045616368879564106,0.0003395336680114269,0.00011288118548691273,3.7488418911379995e-06
200,0.00045276511809788644,0.0003368897596374154,0.00011203360190847889,3.8417633732024115e-06
201,0.0004494174208957702,0.00033428065944463015,0.00011120154522359371,3.935209406336071e-06
202,0.00044611943303607404,0.00033170575625263155,0.00011038450611522421,4.029151114082197e-06
203,0.00044287036871537566,0.0003291643224656582,0.000109582491859328,4.123558937862981e-06
204,0.0004396691219881177,0.00032665618346072733,0.00010879454930545762,4.218405592837371e-06
205,0.00043651522719301283,0.00032418061164207757,0.00010802096221596003,4.313663339416962e-06
206,0.0004334075783845037,0.0003217369958292693,0.00010726127220550552,4.409307166497456e-06
207,0.0004303449240978807,0.0003193248703610152,0.00010651474440237507,4.5053125177219044e-06
208,0.0004273274971637875,0.0003169442352373153,0.00010578159708529711,4.6016562009754125e-06
209,0.00042435387149453163,0.00031459404272027314,0.0001050615101121366,4.6983163883851375e-06
210,0.00042142311576753855,0.00031227405997924507,0.0001043537849909626,4.795271252078237e-06
211,0.00041853456059470773,0.0003099834721069783,0.00010365858906880021,4.892501692665974e-06
212,0.0004156875947955996,0.00030772227910347283,0.00010297531116520986,4.989987246517558e-06
213,0.0004128816945012659,0.0003054898988921195,0.00010230408952338621,5.087711087981006e-06
214,0.00041011549183167517,0.00030328560387715697,0.00010164421837544069,5.185655027162284e-06
215,0.000407388957682997,0.00030110919033177197,0.00010099597420776263,5.2838017836620566e-06
